Age,CurrentGender,Sex,MaritalStatus,RaceEthnicity,Political,SocialGroup,FoMOMean,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Imagination,NFCMean,RFMean,JudgeMean,PersonalRecallMean,SocialRecallMean,PersonalPredictMean,SocialPredictMean
41,2,2,4,White,5,1,1.6,1,3.25,3.25,3.5,3.25,3.333333333,1.25,-39.5,3.285714286,5.428571429,1.857142857,4.928571429
69,1,1,3,White,6,1,1.1,2.25,3,4.25,0.5,2,2.833333333,3.5,-36.21428571,1.285714286,1.285714286,1.5,1.5
64,1,1,2,White,2,1,1.4,1.5,3.25,3,1.75,3.75,3.555555556,5.583333333,-56.28571429,1.5,4.5,1.785714286,4.571428571
36,1,1,2,White,4,1,2.9,2.25,2.75,2.5,2,2,2.555555556,4.25,10.85714286,3.857142857,3.857142857,4.071428571,4.071428571
27,2,2,2,White,2,0,3.8,0.5,2.75,1.75,3.75,3.5,3.277777778,1.75,-23.78571429,3.428571429,5.071428571,4,5
71,2,2,1,White,1,0,1.5,3.75,4.25,4.25,1.25,3,3.611111111,1.166666667,-60.35714286,1.642857143,3.571428571,1.555555556,3.333333333
84,2,2,1,White,2,0,1.5,2.75,3.5,2.75,0.75,2.5,2.5,2.75,-32.64285714,1.857142857,3.857142857,1.666666667,5
24,2,2,1,White,4,0,2.1,2,3.25,2.5,3.5,2,3.555555556,2.5,-22.78571429,4.214285714,4.785714286,3.777777778,4.444444444
26,1,1,2,HispanicLatino,4,1,1.5,1.75,3.25,2.75,1.75,3.25,3.111111111,4.666666667,-35.64285714,2.928571429,4.642857143,2.785714286,4.571428571
75,2,2,3,White,7,1,1.6,2.5,3.5,2.5,1.75,2.75,2.888888889,5.833333333,-90.57142857,2.428571429,6.571428571,1.785714286,6.142857143
82,2,2,5,Asian,2,1,2.5,3,3.75,2.75,2.25,3.25,1.611111111,0.916666667,-64.21428571,1.785714286,3.142857143,1.642857143,3.5
69,1,1,2,White,6,0,2.2,2,1.5,3,1.5,3,3.666666667,3.25,-38.57142857,1.142857143,2.357142857,1.333333333,2.777777778
56,2,2,3,White,4,0,1.8,2,3.5,3.5,2.25,2.25,1.888888889,4.75,-44.92857143,2.142857143,2.214285714,2.333333333,2.555555556
24,1,1,2,White,4,0,1.3,1.5,3,3.75,2.25,2.25,2.222222222,4.75,-53.5,2.642857143,2.857142857,2.444444444,2.666666667
73,2,2,1,White,2,1,1.5,2.25,3.75,2.5,3.5,4,3.555555556,2.833333333,-55.35714286,5.142857143,6,4.714285714,5.928571429
44,2,2,3,White,4,1,1,1,3,3,2.75,2.75,1.777777778,1.333333333,-62.57142857,2,4.285714286,2.071428571,4.285714286
71,2,2,1,White,4,0,1.1,2,3.5,3.75,1,2.5,3.333333333,4.833333333,-37.57142857,1.785714286,4.928571429,1.777777778,5
21,2,2,2,White,4,1,2.9,3,3.75,2.75,3,2.25,2.555555556,4,3.285714286,3.928571429,4.428571429,3.714285714,3.571428571
49,1,1,1,White,6,0,1.3,1.75,3,3,1.5,2.75,2.666666667,2.5,-60.85714286,2.928571429,3.714285714,2.444444444,4
